chick_no,check_date,weight,body_temp,breath_rate,feed_intake,diarrhea_yn,note
A2500018,2025-01-30,1886,41.6,65,104,N,
A2500019,2025-01-30,1859,41.7,65,107,N,
A2500020,2025-01-30,1886,41.5,60,107,N,
B2510001,2025-01-30,2070,41,67,112,N,
B2510002,2025-01-30,1950,40.8,64,109,N,
B2510003,2025-01-30,2070,41.2,66,106,N,
B2500004,2025-01-30,2040,41.4,65,104,N,
B2500005,2025-01-30,1980,40.6,64,108,N,
B2510006,2025-01-30,1980,40.8,65,106,N,
B2500007,2025-01-30,1980,40.7,63,112,N,
B2500008,2025-01-30,2100,41.1,67,112,N,
B2500009,2025-01-30,1779,43.2,77,91,N,
B2500010,2025-01-30,1876,40.6,62,104,N,
B2500011,2025-01-30,1848,41.5,66,110,N,
B2500012,2025-01-30,1808,41.5,61,108,N,
B2510013,2025-01-30,1820,41,63,107,N,
B2500014,2025-01-30,1836,40.8,66,105,N,
B2510015,2025-01-30,1886,40.8,66,105,N,
B2510016,2025-01-30,1886,41.3,64,106,N,
B2510017,2025-01-30,1877,40.9,61,108,N,
B2510018,2025-01-30,1820,41.4,65,108,N,
B2510019,2025-01-30,1711,45.2,81,83,Y,"체온이 45도를 넘어가고, 호흡수가 빠르며 사료 섭취량이 20% 가량 줄었음"
B2500020,2025-01-30,1804,41.7,65,108,N,
